epoch,train_loss,val_loss
1,0.231508,0.145356
2,0.11998,0.148176
3,0.109309,0.149541
4,0.095628,0.224926
5,0.08229,0.211008
6,0.078671,0.201468
7,0.074479,0.209015
8,0.073121,0.201023
9,0.072204,0.204085
10,0.069993,0.212048
11,0.068935,0.216525
12,0.067824,0.20593
13,0.069093,0.204031
14,0.065632,0.205178
15,0.064991,0.212067
16,0.066162,0.207253
17,0.060282,0.223268
18,0.066827,0.212238
19,0.060758,0.215812
20,0.067707,0.214007
21,0.066867,0.220316
22,0.063832,0.218494
23,0.062166,0.217248
24,0.060513,0.22479
25,0.060971,0.22041
26,0.059525,0.219849
27,0.060047,0.220547
28,0.059564,0.21789
29,0.060003,0.226018
30,0.058332,0.214854
31,0.05823,0.219117
32,0.055797,0.226336
33,0.053176,0.221988
34,0.055376,0.232822
35,0.050743,0.229951
36,0.050023,0.232989
37,0.046105,0.233506
38,0.046954,0.24598
39,0.045556,0.265662
40,0.043645,0.237229
41,0.042955,0.23179
42,0.04445,0.229368
43,0.044004,0.226379
44,0.041334,0.226808
45,0.040367,0.228963
46,0.04062,0.232146
47,0.040659,0.230905
48,0.041516,0.23237
49,0.039739,0.232917
50,0.040323,0.229563
51,0.040852,0.231679
52,0.039451,0.235645
53,0.039173,0.23348
54,0.040025,0.238381
55,0.040071,0.232901
56,0.038434,0.230203
57,0.038717,0.235139
58,0.038682,0.232294
59,0.03919,0.231547
60,0.040219,0.230307
61,0.039644,0.234921
62,0.038211,0.228024
63,0.039069,0.231289
64,0.038914,0.230215
65,0.037784,0.228767
66,0.038046,0.2297
67,0.037645,0.22777
68,0.03775,0.227106
69,0.038294,0.229979
70,0.037148,0.231081
71,0.0365,0.230259
72,0.037932,0.230555
73,0.037288,0.23095
74,0.037326,0.229469
75,0.037843,0.230092
76,0.037189,0.230664
77,0.037416,0.229392
78,0.0371,0.231104
79,0.036633,0.230069
80,0.037354,0.231142
81,0.037354,0.228912
82,0.037538,0.230063
83,0.037295,0.230574
84,0.036897,0.230897
85,0.036491,0.227891
86,0.036298,0.228707
87,0.036437,0.229447
88,0.036485,0.23019
89,0.037315,0.230208
90,0.036563,0.230218
91,0.036731,0.228978
92,0.03746,0.229102
93,0.036639,0.23153
94,0.03645,0.232612
95,0.036872,0.230973
96,0.036606,0.229884
97,0.036382,0.230333
98,0.036701,0.229716
99,0.036432,0.229739
100,0.036837,0.231587
101,0.036914,0.230644
102,0.036709,0.230376
103,0.035759,0.229436
104,0.036345,0.231562
105,0.035951,0.229914
106,0.036193,0.228553
107,0.036286,0.22897
108,0.036912,0.228978
109,0.036421,0.229158
110,0.03623,0.229903
111,0.036652,0.228872
112,0.036025,0.229611
113,0.03592,0.230433
114,0.036399,0.228598
115,0.036431,0.229838
116,0.035747,0.230853
117,0.035971,0.23117
118,0.035969,0.230957
119,0.036729,0.230131
120,0.03634,0.23023
121,0.036515,0.230456
122,0.035795,0.230161
123,0.036223,0.229744
124,0.035084,0.229565
125,0.03583,0.229082
126,0.036079,0.229838
127,0.034999,0.23102
128,0.035908,0.230698
129,0.036533,0.230687
130,0.036635,0.230936
131,0.035984,0.230754
132,0.036188,0.230889
133,0.036229,0.230069
134,0.035798,0.231077
135,0.035847,0.232447
136,0.035302,0.23209
137,0.035595,0.232169
138,0.035512,0.231501
139,0.035784,0.231128
140,0.036245,0.232008
141,0.035889,0.231383
142,0.036426,0.230317
143,0.035877,0.230481
144,0.035852,0.230477
145,0.035685,0.231373
146,0.036373,0.230908
147,0.035791,0.230947
148,0.0362,0.231027
149,0.035138,0.231371
150,0.035944,0.231174
151,0.035754,0.231044
152,0.035923,0.230872
153,0.035808,0.230701
154,0.036305,0.230465
155,0.036589,0.230425
156,0.035765,0.230628
157,0.035653,0.230937
158,0.036038,0.230941
159,0.035785,0.230399
160,0.036325,0.230333
161,0.035694,0.230295
162,0.035976,0.230386
163,0.035883,0.230345
164,0.035507,0.230521
165,0.035973,0.230913
166,0.03592,0.231021
167,0.035563,0.231051
168,0.036176,0.230582
169,0.035813,0.230587
170,0.03555,0.231016
171,0.035778,0.230317
172,0.035683,0.23048
173,0.035099,0.230046
174,0.035399,0.230677
175,0.036071,0.230164
176,0.035984,0.229612
177,0.035665,0.230082
178,0.03543,0.230105
179,0.035833,0.230353
180,0.03506,0.230259
181,0.036119,0.23056
182,0.035624,0.230181
183,0.036227,0.230124
184,0.035111,0.229958
185,0.035203,0.230083
186,0.036154,0.23
187,0.035192,0.230126
188,0.035363,0.23048
189,0.035786,0.230407
190,0.035576,0.230029
191,0.035624,0.230088
192,0.035792,0.230259
193,0.035129,0.229969
194,0.036001,0.230154
195,0.035689,0.230241
196,0.035498,0.230033
197,0.035931,0.229873
198,0.035902,0.229818
199,0.036094,0.229913
200,0.035926,0.229399
